N,T (°C),HR (%),P(hpa),Viento (m/s),Vx,Vy,Nubosidad(%),Flujo (L/día)
136,9.588372093,69.34883721,1016.704167,0.502325581,-0.279818791,0.191627759,9,0
43,15.18229167,79.9375,1017.897917,0.919791667,-0.549702733,-0.14720967,100,0
23,17.21145833,56.01041667,1014.472917,1.059375,-0.529028019,-0.198458847,8,0
67,9.961702128,56.06382979,1012.420833,0.414893617,-0.208430983,0.019408387,5,0
133,7.418181818,91.95454545,1014.839583,1.025,0.050310805,0.294991291,92,2.5
33,16.94166667,40.61458333,1015.341667,0.660416667,-0.173460781,0.023290723,5,0
40,12.67083333,83.28125,1013.2125,0.525,-0.166899159,-0.059032534,5,0
203,14.66875,77.125,1005.672917,0.841666667,-0.482419627,0.328430841,10,0
56,12.75061728,75.67901235,1019.723958,0.445679012,-0.157234661,0.103201436,93,0.02
132,9.412903226,88.80645161,1012.4875,0.809677419,-0.171153772,-0.256812148,98,2.17
91,15.41333333,43.95555556,1014.314583,0.402222222,-0.121062783,-0.185745583,100,0
141,11.64634146,85.29268293,1016.817021,1.146341463,-0.553479927,0.493709365,95,0
24,14.734375,53.79166667,1014.140625,0.910416667,-0.524812825,0.229338849,5,0
139,13.31666667,71.25,1013.452083,0.61875,-0.327500388,0.084523437,5,0
198,13.92083333,75.72916667,1002.870833,0.91875,-0.640162395,-0.056351,18,0.01
44,12.53854167,90.4375,1019.164583,0.322916667,0.086504484,-0.007726331,100,0
153,12.41956522,77.45652174,1006.579167,0.758695652,-0.477922156,-0.017127564,13,0.01
72,11.87708333,57.83333333,1012.091667,0.479166667,-0.310768812,0.005058413,5,0
201,14.91041667,75.91666667,1008.777083,0.975,-0.662926777,0.24446317,84,0
34,15.88958333,43.8125,1013.757292,0.753125,-0.325034868,-0.15212498,9,0
192,13.93478261,75.63043478,1007.58125,1.319565217,-0.998166704,-0.06376249,23,0
8,14.69791667,60.57291667,1014.713542,1.203125,-0.806430715,-0.298029434,100,0
66,8.740425532,70.38297872,1012.491667,0.455319149,-0.355510207,-0.088198163,6,0
69,10.88918919,77.18918919,1023.029167,0.497297297,-0.315964517,0.164574187,73,0.06
85,10.5375,91.66666667,1005.879167,0.279166667,-0.107945605,0.03852462,100,0
